OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,SHAPE_Length
1,94250370,N,12522,RENTON AVE S,196,"RENTON AVE S, N/O S CLOVERDALE ST",2008,12522,8700,0, ,Y,4615.13450362494
2,50000650,N,8702,AIRPORT WAY S,152,"AIRPORT WAY S, N/O S NORFOLK ST",2008,8702,12700,0, ,Y,18205.4789305487
3,127150040,N,16114,N NORTHGATE WAY,31,"N NORTHGATE WAY, W/O ASHWORTH AVE N",2008,16114,26700,0, ,Y,4267.85702775597
4,123450090,N,15794,N 65TH ST,166,"N 65TH ST, W/O LINDEN AVE N",2008,15794,8800,0, ,Y,12341.6415454118
5,9550200,Y,2762,2ND AVE,90,"2ND AVE, NW/O LENORA ST",2008,2762,11900,0, ,Y,4161.47580530444
6,80150420,N,11190,LAKE CITY WAY NE,161,"LAKE CITY WAY NE, S/O NE 145TH ST",2008,11190,35300,0, ,Y,8237.29417199264
7,78850080,Y,11055,JAMES ST,63,"JAMES ST, NE/O 7TH AVE",2008,11055,31900,0, ,Y,1288.21315266112
8,71050870,N,10795,GREENWOOD AVE N,98,"GREENWOOD AVE N, S/O N 145TH ST",2008,10795,22900,0, ,Y,5299.69095228009
9,94250400,N,12525,RENTON AVE S,197,"RENTON AVE S, SE/O S HENDERSON ST",2008,12525,7200,0, ,Y,8272.07788559222
10,31300190,Y,6138,4TH AVE,54,"4TH AVE, NW/O LENORA ST",2008,6138,13600,0, ,Y,3501.39505602842
11,63200340,N,9992,DELRIDGE WAY SW,125,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",2008,9992,13600,0, ,Y,2347.95925564091
12,300310,N,1221,1ST AVE S,87,"1ST AVE S, S/O S LUCILE ST",2008,1221,17400,0, ,Y,1881.08324341747
13,118650110,N,15163,N 130TH ST,192,"N 130TH ST, W/O ASHWORTH AVE N",2008,15163,19400,0, ,Y,5315.40860706321
14,26200100,N,5324,34TH AVE W,91,"34TH AVE W, N/O W BARRETT ST",2008,5324,5100,0, ,Y,7204.64018164331
15,133750350,N,17051,NE 55TH ST,135,"NE 55TH ST, E/O 35TH AVE NE",2008,17051,5700,0, ,Y,1323.03942947576
16,20950400,N,4471,3RD AVE NW,245,"3RD AVE NW, S/O NW 80TH ST",2008,4471,8700,0, ,Y,11692.8452307293
17,21550520,N,4641,30TH AVE NE,244,"30TH AVE NE, S/O NE 145TH ST",2008,4641,6300,0, ,Y,5900.81961776835
18,104300010,Y,13524,WESTERN AV OFF RP,141,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",2008,13524,16000,0, ,Y,800.684096825855
19,93450660,N,12402,RAINIER AVE S,69,"RAINIER AVE S, NW/O S HOLLY ST",2008,12402,21500,0, ,Y,9900.479784441
20,50450230,Y,8728,ALASKAN WAY,122,"ALASKAN WAY, SE/O BLANCHARD ST",2008,8728,11700,0, ,Y,4264.96292674879
21,52501010,N,8988,AURORA AVE N,153,"AURORA AVE N, S/O N 112TH ST",2008,8988,35200,0, ,Y,8438.9736880051
22,52501190,N,9001,AURORA AVE N,250,"AURORA AVE N, S/O N 145TH ST",2008,9001,35000,0, ,Y,8773.64613124527
23,16100130,N,3731,25TH AVE NE,89,"25TH AVE NE, S/O NE 75TH ST",2008,3731,11500,0, ,Y,7222.04465261623
24,114800070,Y,14633,E PINE ST,156,"E PINE ST, W/O BROADWAY",2008,14633,12500,0, ,Y,2305.05136777244
25,20800160,Y,4388,3RD AVE,118,"3RD AVE, NW/O LENORA ST",2008,4388,7100,0, ,Y,3855.52176174825
26,135950080,N,17506,NE 75TH ST,231,"NE 75TH ST, W/O ROOSEVELT WAY NE",2008,17506,19000,0, ,Y,1638.81493084318
27,27050130,N,5363,35TH AVE NE,52,"35TH AVE NE, N/O NE 75TH ST",2008,5363,13600,0, ,Y,16661.9656108456
28,112750300,N,14364,E MADISON ST,185,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",2008,14364,15800,0, ,Y,3528.68698484604
29,94850310,N,12623,ROOSEVELT WAY NE,38,"ROOSEVELT WAY NE, N/O NE 73RD ST",2008,12623,11100,0, ,Y,597.649017864327
30,16100020,N,3720,25TH AVE NE,88,"25TH AVE NE, S/O NE 47TH ST",2008,3720,18000,0, ,Y,1566.28398221881
31,38850180,Y,7244,5TH AVE,13,"5TH AVE, NW/O LENORA ST",2008,7244,11600,0, ,Y,3161.4284907128
32,44350100,Y,7882,6TH AVE,14,"6TH AVE, SE/O PIKE ST",2008,7882,13400,0, ,Y,4217.53819645898
