OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,SHAPE_Length
1,94250370,N,12522,RENTON AVE S,80,"RENTON AVE S, N/O S CLOVERDALE ST",2010,12522,8000,301457, ,Y,4615.13450362494
2,50000650,N,8702,AIRPORT WAY S,139,"AIRPORT WAY S, N/O S NORFOLK ST",2010,8702,10100,302115, ,Y,18205.4789305487
3,127150040,N,16114,N NORTHGATE WAY,76,"N NORTHGATE WAY, W/O ASHWORTH AVE N",2010,16114,27500,301937, ,Y,4267.85702775597
4,123450090,N,15794,N 65TH ST,259,"N 65TH ST, W/O LINDEN AVE N",2010,15794,7900,300602, ,Y,12341.6415454118
5,9550200,Y,2762,2ND AVE,59,"2ND AVE, NW/O LENORA ST",2010,2762,11600,218340, ,Y,4161.47580530444
6,80150420,N,11190,LAKE CITY WAY NE,150,"LAKE CITY WAY NE, S/O NE 145TH ST",2010,11190,34200,302075, ,Y,8237.29417199264
7,78850080,Y,11055,JAMES ST,108,"JAMES ST, NE/O 7TH AVE",2010,11055,30700,301425, ,Y,1288.21315266112
8,71050870,N,10795,GREENWOOD AVE N,256,"GREENWOOD AVE N, S/O N 145TH ST",2010,10795,21600,302077, ,Y,5299.69095228009
9,94250400,N,12525,RENTON AVE S,226,"RENTON AVE S, SE/O S HENDERSON ST",2010,12525,7100,301887, ,Y,8272.07788559222
10,31300190,Y,6138,4TH AVE,133,"4TH AVE, NW/O LENORA ST",2010,6138,12100,218345, ,Y,3501.39505602842
11,63200340,N,9992,DELRIDGE WAY SW,38,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",2010,9992,13900,302091, ,Y,2347.95925564091
12,300310,N,1221,1ST AVE S,90,"1ST AVE S, S/O S LUCILE ST",2010,1221,16000,301143, ,Y,1881.08324341747
13,118650110,N,15163,N 130TH ST,111,"N 130TH ST, W/O ASHWORTH AVE N",2010,15163,19900,301929, ,Y,5315.40860706321
14,26200100,N,5324,34TH AVE W,3,"34TH AVE W, N/O W BARRETT ST",2010,5324,4900,302140, ,Y,7204.64018164331
15,133750350,N,17051,NE 55TH ST,260,"NE 55TH ST, E/O 35TH AVE NE",2010,17051,5700,302015, ,Y,1323.03942947576
16,20950400,N,4471,3RD AVE NW,60,"3RD AVE NW, S/O NW 80TH ST",2010,4471,10700,302149, ,Y,11692.8452307293
17,21550520,N,4641,30TH AVE NE,94,"30TH AVE NE, S/O NE 145TH ST",2010,4641,5800,302145, ,Y,5900.81961776835
18,104300010,Y,13524,WESTERN AV OFF RP,199,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",2010,13524,17500,300138, ,Y,800.684096825855
19,93450660,N,12402,RAINIER AVE S,121,"RAINIER AVE S, NW/O S HOLLY ST",2010,12402,19500,301455, ,Y,9900.479784441
20,50450230,Y,8728,ALASKAN WAY,173,"ALASKAN WAY, SE/O BLANCHARD ST",2010,8728,12300,302111, ,Y,4264.96292674879
21,52501010,N,8988,AURORA AVE N,142,"AURORA AVE N, S/O N 112TH ST",2010,8988,34000,301387, ,Y,8438.9736880051
22,52501190,N,9001,AURORA AVE N,246,"AURORA AVE N, S/O N 145TH ST",2010,9001,34400,302101, ,Y,8773.64613124527
23,16100130,N,3731,25TH AVE NE,2,"25TH AVE NE, S/O NE 75TH ST",2010,3731,11900,302154, ,Y,7222.04465261623
24,114800070,Y,14633,E PINE ST,252,"E PINE ST, W/O BROADWAY",2010,14633,12800,301923, ,Y,2305.05136777244
25,20800160,Y,4388,3RD AVE,32,"3RD AVE, NW/O LENORA ST",2010,4388,8300,302150, ,Y,3855.52176174825
26,135950080,N,17506,NE 75TH ST,118,"NE 75TH ST, W/O ROOSEVELT WAY NE",2010,17506,20000,302013, ,Y,1638.81493084318
27,27050130,N,5363,35TH AVE NE,204,"35TH AVE NE, N/O NE 75TH ST",2010,5363,15400,301369, ,Y,16661.9656108456
