OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,STDY_TITLE,STDY_LABEL,STDY_YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,SEG_COMPKEY,SHAPE_Length
1,94250370,N,12522,RENTON AVE S,194,311070,"RENTON AVE S, N/O S CLOVERDALE ST; TOTAL FLOW; CH(AGG); 02Feb2012 11:30",7900,4457,561,692,"RENTON AVE S, N/O S CLOVERDALE ST","311070, 2012-02-02, TOTAL",2012,Y,"RENTON AVE S, N/O S CLOVERDALE ST",8059.4,1.019,8213,8200,12522,4615.13450365471
2,50000650,N,8702,AIRPORT WAY S,134,311369,"AIRPORT WAY S, N/O S NORFOLK ST; TOTAL FLOW; CH(AGG);(2011 DATA) 02May2012 11:00",8830,6864,1270,1058,"AIRPORT WAY S, N/O S NORFOLK ST","311369, 2012-05-02, TOTAL",2012,Y,"AIRPORT WAY S, N/O S NORFOLK ST",11012.4,1.002,11034,11000,8702,18205.4789305702
3,123450090,N,15794,N 65TH ST,239,308924,"N 65TH ST, W/O LINDEN AVE N; TOTAL FLOW; CHB TUBE; 04Sep2012 11:00",7651,4736,579,774,"N 65TH ST, W/O LINDEN AVE N","308924, 2012-09-04, TOTAL",2012,Y,"N 65TH ST, W/O LINDEN AVE N",8126.8,0.974,7916,7900,15794,12341.6415454151
4,9550200,Y,2762,2ND AVE,155,306613,"2ND AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 01Mar2012 11:30",8494,5284,1042,716,"2ND AVE, NW/O LENORA ST","306613, 2012-03-01, TOTAL",2012,Y,"2ND AVE, NW/O LENORA ST",9099.4,1.046,9518,9500,2762,4161.47580526846
5,80150420,N,11190,LAKE CITY WAY NE,13,311225,"LAKE CITY WAY NE, S/O NE 145TH ST; TOTAL FLOW; CH(AGG); 15May2012 10:00",35885,20878,2661,3003,"LAKE CITY WAY NE, S/O NE 145TH ST","311225, 2012-05-15, TOTAL",2012,Y,"LAKE CITY WAY NE, S/O NE 145TH ST",38030.6,1.002,38107,38100,11190,8237.29417197543
6,78850080,Y,11055,JAMES ST,140,309979,"JAMES ST, NE/O 7TH AVE; TOTAL FLOW; CH(AGG); 30Oct2012 10:00",27992,15108,2017,1977,"JAMES ST, NE/O 7TH AVE","309979, 2012-10-30, TOTAL",2012,Y,"JAMES ST, NE/O 7TH AVE",29947.6,0.978,29289,29300,11055,1288.21315265352
7,71050870,N,10795,GREENWOOD AVE N,59,309969,"GREENWOOD AVE N, S/O N 145TH ST; TOTAL FLOW; CH(AGG); 14May2012 11:00",20617,12627,1561,2072,"GREENWOOD AVE N, S/O N 145TH ST","309969, 2012-05-14, TOTAL",2012,Y,"GREENWOOD AVE N, S/O N 145TH ST",22107.2,1.002,22151,22200,10795,5299.69095226514
8,94250400,N,12525,RENTON AVE S,205,311072,"RENTON AVE S, SE/O S HENDERSON ST; TOTAL FLOW; CH(AGG); 13Aug2012 11:30",6747,3616,343,599,"RENTON AVE S, SE/O S HENDERSON ST","311072, 2012-08-13, TOTAL",2012,Y,"RENTON AVE S, SE/O S HENDERSON ST",6844.2,1.008,6899,6900,12525,8272.07788554632
9,31300190,Y,6138,4TH AVE,61,308763,"4TH AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 01Mar2012 10:30",16885,10075,1183,1807,"4TH AVE, NW/O LENORA ST","308763, 2012-03-01, TOTAL",2012,Y,"4TH AVE, NW/O LENORA ST",18268.4,1.046,19109,19100,6138,3501.39505604954
10,63200340,N,9992,DELRIDGE WAY SW,33,309933,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST; TOTAL FLOW; CH(AGG); 25Jun2012 12:30",16133,9193,961,1367,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST","309933, 2012-06-25, TOTAL",2012,Y,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",16646.4,0.964,16047,16000,9992,2347.95925563342
11,300310,N,1221,1ST AVE S,101,311022,"1ST AVE S, S/O S LUCILE ST; TOTAL FLOW; CH(AGG); 30Apr2012 11:15",16657,11955,1390,2066,"1ST AVE S, S/O S LUCILE ST","311022, 2012-04-30, TOTAL",2012,Y,"1ST AVE S, S/O S LUCILE ST",19924.4,0.984,19606,19600,1221,1881.08324343105
12,118650110,N,15163,N 130TH ST,107,309999,"N 130TH ST, W/O ASHWORTH AVE N; TOTAL FLOW; CH(AGG); 26Jun2012 11:45",19046,11230,1348,1599,"N 130TH ST, W/O ASHWORTH AVE N","309999, 2012-06-26, TOTAL",2012,Y,"N 130TH ST, W/O ASHWORTH AVE N",20189.2,0.964,19462,19500,15163,5315.40860707821
13,26200100,N,5324,34TH AVE W,55,308758,"34TH AVE W, N/O W BARRETT ST; TOTAL FLOW; CHB TUBE; 01Aug2012 10:45",4576,2927,325,482,"34TH AVE W, N/O W BARRETT ST","308758, 2012-08-01, TOTAL",2012,Y,"34TH AVE W, N/O W BARRETT ST",4808.4,1.008,4847,4800,5324,7204.64018162901
14,133750350,N,17051,NE 55TH ST,7,310021,"NE 55TH ST, E/O 35TH AVE NE; TOTAL FLOW; CH(AGG); 08Oct2012 11:00",6402,4319,528,687,"NE 55TH ST, E/O 35TH AVE NE","310021, 2012-10-08, TOTAL",2012,Y,"NE 55TH ST, E/O 35TH AVE NE",7013.2,0.978,6859,6900,17051,1323.03942944625
15,20950400,N,4471,3RD AVE NW,132,311195,"3RD AVE NW, S/O NW 80TH ST; TOTAL FLOW; CH(AGG); 05Nov2012 11:15",7754,5055,630,861,"3RD AVE NW, S/O NW 80TH ST","311195, 2012-11-05, TOTAL",2012,Y,"3RD AVE NW, S/O NW 80TH ST",8240.4,1.04,8570,8600,4471,11692.8452307516
16,21550520,N,4641,30TH AVE NE,105,311199,"30TH AVE NE, S/O NE 145TH ST; TOTAL FLOW; CH(AGG); 15May2012 11:45",5670,3644,435,596,"30TH AVE NE, S/O NE 145TH ST","311199, 2012-05-15, TOTAL",2012,Y,"30TH AVE NE, S/O NE 145TH ST",6188.2,1.002,6201,6200,4641,5900.81961775916
17,93450660,N,12402,RAINIER AVE S,19,310061,"RAINIER AVE S, NW/O S HOLLY ST; TOTAL FLOW; CH(AGG); 08Nov2012 10:30",19874,11669,1429,1743,"RAINIER AVE S, NW/O S HOLLY ST","310061, 2012-11-08, TOTAL",2012,Y,"RAINIER AVE S, NW/O S HOLLY ST",20961.75,1.04,21800,21800,12402,9900.4797844563
18,52501190,N,9001,AURORA AVE N,183,311217,"AURORA AVE N, S/O N 145TH ST; TOTAL FLOW; CH(AGG); 14May2012 10:30",33514,20033,2208,2930,"AURORA AVE N, S/O N 145TH ST","311217, 2012-05-14, TOTAL",2012,Y,"AURORA AVE N, S/O N 145TH ST",35697.4,1.002,35769,35800,9001,8773.64613124239
19,16100130,N,3731,25TH AVE NE,149,309897,"25TH AVE NE, S/O NE 75TH ST; TOTAL FLOW; CH(AGG); 06Nov2012 10:30",10151,6573,822,1049,"25TH AVE NE, S/O NE 75TH ST","309897, 2012-11-06, TOTAL",2012,Y,"25TH AVE NE, S/O NE 75TH ST",10756.5,1.04,11187,11200,3731,7222.04465264722
20,114800070,Y,14633,E PINE ST,72,311089,"E PINE ST, W/O BROADWAY; TOTAL FLOW; CH(AGG); 17Sep2012 12:00",10728,5127,647,736,"E PINE ST, W/O BROADWAY","311089, 2012-09-17, TOTAL",2012,Y,"E PINE ST, W/O BROADWAY",10365.6,0.974,10096,10100,14633,2305.05136779096
21,20800160,Y,4388,3RD AVE,133,311192,"3RD AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 01Mar2012 10:45",9468,5067,631,792,"3RD AVE, NW/O LENORA ST","311192, 2012-03-01, TOTAL",2012,Y,"3RD AVE, NW/O LENORA ST",9695.8,1.046,10142,10100,4388,3855.52176173807
22,135950080,N,17506,NE 75TH ST,112,310033,"NE 75TH ST, W/O ROOSEVELT WAY NE; TOTAL FLOW; CH(AGG); 26Nov2012 12:00",23043,13429,1926,1819,"NE 75TH ST, W/O ROOSEVELT WAY NE","310033, 2012-11-26, TOTAL",2012,Y,"NE 75TH ST, W/O ROOSEVELT WAY NE",23817,1.04,24770,24800,17506,1638.81493085965
23,27050130,N,5363,35TH AVE NE,77,310671,"35TH AVE NE, N/O NE 75TH ST; TOTAL FLOW; CH(AGG); 28Mar2012 11:30",14382,9207,1113,1465,"35TH AVE NE, N/O NE 75TH ST","310671, 2012-03-28, TOTAL",2012,Y,"35TH AVE NE, N/O NE 75TH ST",15379.2,1.046,16087,16100,5363,16661.9656108539
24,16100020,N,3720,25TH AVE NE,148,309895,"25TH AVE NE, S/O NE 47TH ST; TOTAL FLOW; CH(AGG); 04Oct2012 11:30",15947,9464,1036,1401,"25TH AVE NE, S/O NE 47TH ST","309895, 2012-10-04, TOTAL",2012,Y,"25TH AVE NE, S/O NE 47TH ST",16701,0.978,16334,16300,3720,1566.2839821919
25,38850180,Y,7244,5TH AVE,44,311368,"5TH AVE, NW/O LENORA ST; SE FLOW; CH(AGG);(2011 DATA) 06Mar2012 11:30",13500,8510,1729,1039,"5TH AVE, NW/O LENORA ST","311368, 2012-03-06, SE",2012,Y,"5TH AVE, NW/O LENORA ST",14469.2,1.046,15135,15100,7244,3161.42849070503
26,44350100,Y,7882,6TH AVE,254,308947,"6TH AVE, SE/O PIKE ST; NW FLOW; CH(AGG); 19Jul2012 10:30",13003,7108,1093,887,"6TH AVE, SE/O PIKE ST","308947, 2012-07-19, NW",2012,Y,"6TH AVE, SE/O PIKE ST",13607.8,0.981,13349,13300,7882,4217.53819643085
27,3200010,N,1523,12TH AVE,4,311026,"12TH AVE, N/O E YESLER WAY; TOTAL FLOW; CH(AGG); 23Apr2012 10:15",12621,7343,1024,1065,"12TH AVE, N/O E YESLER WAY","311026, 2012-04-23, TOTAL",2012,Y,"12TH AVE, N/O E YESLER WAY",13242.2,0.984,13030,13000,1523,6655.50805550886
28,67700130,N,10387,FAUNTLEROY WAY SW,121,309963,"FAUNTLEROY WAY SW, S/O SW ALASKA ST; TOTAL FLOW; CH(AGG); 29Nov2012 10:30",13747,7682,1108,1057,"FAUNTLEROY WAY SW, S/O SW ALASKA ST","309963, 2012-11-29, TOTAL",2012,Y,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",14262.8,1.04,14833,14800,10387,6701.18430500784
29,100090,Y,1008,1ST AVE,45,311139,"1ST AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 18Jul2012 11:45",21644,10970,1412,1557,"1ST AVE, SE/O PIKE ST","311139, 2012-07-18, TOTAL",2012,Y,"1ST AVE, SE/O PIKE ST",22402.2,0.981,21977,22000,1008,3622.38722989747
30,98100150,N,12968,STONE WAY N,193,311075,"STONE WAY N, S/O N 45TH ST; TOTAL FLOW; CH(AGG); 24Apr2012 12:15",15111,8914,1074,1303,"STONE WAY N, S/O N 45TH ST","311075, 2012-04-24, TOTAL",2012,Y,"STONE WAY N, S/O N 45TH ST",16038,0.984,15781,15800,12968,7875.29036587826
31,114650070,Y,14599,E PIKE ST,18,311087,"E PIKE ST, W/O BROADWAY; TOTAL FLOW; CH(AGG); 17Sep2012 12:30",10282,5848,678,858,"E PIKE ST, W/O BROADWAY","311087, 2012-09-17, TOTAL",2012,Y,"E PIKE ST, W/O BROADWAY",12121.2,0.974,11806,11800,14599,2073.24908652944
32,148450150,N,18971,NW 85TH ST,172,311108,"NW 85TH ST, W/O 16TH AVE NW; TOTAL FLOW; CH(AGG); 18Apr2012 10:45",15054,8091,1036,1165,"NW 85TH ST, W/O 16TH AVE NW","311108, 2012-04-18, TOTAL",2012,Y,"NW 85TH ST, W/O 16TH AVE NW",14991.2,0.984,14751,14800,18971,7963.5986034822
33,96200010,Y,12786,SENECA ST OFF RP,233,308162,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB; NE FLOW; CH2; 07Jun2012 11:30",8473,5212,852,600,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB","308162, 2012-06-07, NE",2012,Y,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",9141.6,0.964,8813,8800,12786,568.309333198742
34,87750010,N,11941,MYERS WAY S,244,309997,"MYERS WAY S, S/O OLSON PL SW; TOTAL FLOW; CH(AGG); 02May2012 11:30",5258,3091,496,443,"MYERS WAY S, S/O OLSON PL SW","309997, 2012-05-02, TOTAL",2012,Y,"MYERS WAY S, S/O OLSON PL SW",5646,1.002,5657,5700,11941,2781.79481847115
35,61150170,N,9833,CORSON AVE S,38,309929,"CORSON AVE S, S/O S MICHIGAN ST; TOTAL FLOW; CH(AGG); 21Aug2012 11:30",6920,4824,634,771,"CORSON AVE S, S/O S MICHIGAN ST","309929, 2012-08-21, TOTAL",2012,Y,"CORSON AVE S, S/O S MICHIGAN ST",8500.8,1.008,8569,8600,9833,2609.23123046449
