OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,SHAPE_Length
1,94250370,N,12522,RENTON AVE S,219,"RENTON AVE S, N/O S CLOVERDALE ST",2013,12522,8400,312359, ,Y,4615.13450365471
2,50000650,N,8702,AIRPORT WAY S,79,"AIRPORT WAY S, N/O S NORFOLK ST",2013,8702,11100,313701, ,Y,18205.4789305702
3,123450090,N,15794,N 65TH ST,178,"N 65TH ST, W/O LINDEN AVE N",2013,15794,5400,313746, ,Y,12341.6415454151
4,9550200,Y,2762,2ND AVE,42,"2ND AVE, NW/O LENORA ST",2013,2762,14000,311796, ,Y,4161.47580526846
5,80150420,N,11190,LAKE CITY WAY NE,149,"LAKE CITY WAY NE, S/O NE 145TH ST",2013,11190,40400,313721, ,Y,8237.29417197543
6,78850080,Y,11055,JAMES ST,147,"JAMES ST, NE/O 7TH AVE",2013,11055,22100,313120,Y,Y,1288.21315265352
7,71050870,N,10795,GREENWOOD AVE N,139,"GREENWOOD AVE N, S/O N 145TH ST",2013,10795,22300,313110,Y,Y,5299.69095226514
8,94250400,N,12525,RENTON AVE S,221,"RENTON AVE S, SE/O S HENDERSON ST",2013,12525,6600,313468, ,Y,8272.07788554632
9,31300190,Y,6138,4TH AVE,61,"4TH AVE, NW/O LENORA ST",2013,6138,14400,310951,Y,Y,3501.39505604954
10,63200340,N,9992,DELRIDGE WAY SW,106,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",2013,9992,9900,313088,Y,Y,2347.95925563342
11,300310,N,1221,1ST AVE S,30,"1ST AVE S, S/O S LUCILE ST",2013,1221,18500,313452, ,Y,1881.08324343105
12,118650110,N,15163,N 130TH ST,169,"N 130TH ST, W/O ASHWORTH AVE N",2013,15163,19600,313140,Y,Y,5315.40860707821
13,26200100,N,5324,34TH AVE W,47,"34TH AVE W, N/O W BARRETT ST",2013,5324,4700,311754, ,Y,7204.64018162901
14,133750350,N,17051,NE 55TH ST,190,"NE 55TH ST, E/O 35TH AVE NE",2013,17051,6800,313157,Y,Y,1323.03942944625
15,20950400,N,4471,3RD AVE NW,54,"3RD AVE NW, S/O NW 80TH ST",2013,4471,8800,312288, ,Y,11692.8452307516
16,21550520,N,4641,30TH AVE NE,44,"30TH AVE NE, S/O NE 145TH ST",2013,4641,8100,313567, ,Y,5900.81961775916
17,93450660,N,12402,RAINIER AVE S,214,"RAINIER AVE S, NW/O S HOLLY ST",2013,12402,19700,313466, ,Y,9900.4797844563
18,52501190,N,9001,AURORA AVE N,86,"AURORA AVE N, S/O N 145TH ST",2013,9001,37000,313709, ,Y,8773.64613124239
19,16100130,N,3731,25TH AVE NE,40,"25TH AVE NE, S/O NE 75TH ST",2013,3731,11900,313035,Y,Y,7222.04465264722
20,114800070,Y,14633,E PINE ST,120,"E PINE ST, W/O BROADWAY",2013,14633,10200,313419, ,Y,2305.05136779096
21,20800160,Y,4388,3RD AVE,55,"3RD AVE, NW/O LENORA ST",2013,4388,7400,313561, ,Y,3855.52176173807
22,135950080,N,17506,NE 75TH ST,197,"NE 75TH ST, W/O ROOSEVELT WAY NE",2013,17506,20000,313163,Y,Y,1638.81493085965
23,27050130,N,5363,35TH AVE NE,48,"35TH AVE NE, N/O NE 75TH ST",2013,5363,17200,313037,Y,Y,16661.9656108539
24,16100020,N,3720,25TH AVE NE,39,"25TH AVE NE, S/O NE 47TH ST",2013,3720,17800,313033,Y,Y,1566.2839821919
25,38850180,Y,7244,5TH AVE,67,"5TH AVE, NW/O LENORA ST",2013,7244,12800,311774, ,Y,3161.42849070503
26,44350100,Y,7882,6TH AVE,72,"6TH AVE, SE/O PIKE ST",2013,7882,14300,311638, ,Y,4217.53819643085
27,3200010,N,1523,12TH AVE,14,"12TH AVE, N/O E YESLER WAY",2013,1523,13400,313399, ,Y,6655.50805550886
28,67700130,N,10387,FAUNTLEROY WAY SW,133,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",2013,10387,18000,313107,Y,Y,6701.18430500784
29,98100150,N,12968,STONE WAY N,250,"STONE WAY N, S/O N 45TH ST",2013,12968,12500,313438, ,Y,7875.29036587826
30,114650070,Y,14599,E PIKE ST,119,"E PIKE ST, W/O BROADWAY",2013,14599,12000,313417, ,Y,2073.24908652944
31,148450150,N,18971,NW 85TH ST,204,"NW 85TH ST, W/O 16TH AVE NW",2013,18971,13600,311606, ,Y,7963.5986034822
32,96200010,Y,12786,SENECA ST OFF RP,245,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",2013,12786,9300,311465,Y,Y,568.309333198742
33,87750010,N,11941,MYERS WAY S,166,"MYERS WAY S, S/O OLSON PL SW",2013,11941,5600,313138,Y,Y,2781.79481847115
34,61150170,N,9833,CORSON AVE S,104,"CORSON AVE S, S/O S MICHIGAN ST",2013,9833,6700,313084,Y,Y,2609.23123046449
35,104200130,Y,13507,WESTERN AVE,8,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",2013,13507,4100,313266,Y, ,4123.16889187981
36,91650050,N,12231,PINEHURST WAY NE,210,"PINEHURST WAY NE, NE/O NE 115TH ST",2013,12231,9300,313221,Y,Y,2635.54925348418
37,71050670,N,10775,GREENWOOD AVE N,137,"GREENWOOD AVE N, N/O N 107TH ST",2013,10775,25100,311594,Y,Y,5295.66058268564
38,5550680,N,2096,15TH AVE NE,17,"15TH AVE NE, S/O NE 145TH ST",2013,2096,15600,313023,Y,Y,7106.19072711216
39,27200240,N,5462,35TH AVE SW,52,"35TH AVE SW, S/O SW MORGAN ST",2013,5462,21400,313047,Y,Y,8613.68571913959
40,181450280,N,22771,SW ROXBURY ST,258,"SW ROXBURY ST, E/O 26TH AVE SW",2013,22771,23000,313259,Y,Y,9082.82354480222
41,180000070,N,22592,SW MORGAN ST,257,"SW MORGAN ST, W/O 35TH AVE SW",2013,22592,7100,313257, ,Y,2660.88142111398
42,173900035,N,21818,SW AVALON WAY,253,"SW AVALON WAY, N/O 30TH AVE SW",2013,21818,13500,313774, ,Y,3425.59553577961
43,108300040,N,13812,E ALOHA ST,113,"E ALOHA ST, E/O 10TH AVE E",2013,13812,7600,311561, ,Y,870.3606592182
44,61150160,N,9832,CORSON AVE S,103,"CORSON AVE S, N/O S MICHIGAN ST",2013,9832,26100,313082,Y,Y,1873.9878718934
45,23850280,N,5001,32ND AVE NW,46,"32ND AVE NW, S/O NW 80TH ST",2013,5001,4900,312281, ,Y,8343.25711046729
46,57900200,N,9548,CALIFORNIA AVE SW,97,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",2013,9548,17100,313714, ,Y,7978.44448677336
47,82910010,N,11481,M L KING JR WAY,158,"M L KING JR WAY, N/O E YESLER WAY",2013,11481,13900,313413, ,Y,2335.64323218172
48,94250590,N,12545,RENTON AVE S,220,"RENTON AVE S, SE/O S BANGOR ST",2013,12545,10300,313725, ,Y,2893.13537099361
49,5750060,N,2188,15TH AVE W,24,"15TH AVE W, N/O W ARMORY WAY",2013,2188,41100,311612,Y,Y,7640.76352116591
50,91150330,N,12159,PHINNEY AVE N,209,"PHINNEY AVE N, S/O N 65TH ST",2013,12159,11000,311598, ,Y,4076.44635073289
51,129750300,N,16504,NE 125TH ST,183,"NE 125TH ST, E/O 35TH AVE NE",2013,16504,10500,311578, ,Y,17300.9464367339
52,5550500,N,2078,15TH AVE NE,21,"15TH AVE NE, S/O NE NORTHGATE WAY",2013,2078,7100,311574, ,Y,11465.3421484054
53,20800110,Y,4383,3RD AVE,56,"3RD AVE, SE/O PIKE ST",2013,4383,7600,313559, ,Y,4292.23532766889
54,188450140,N,23539,WEST MARGINAL WAY SW,268,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",2013,23539,16400,313261,Y,Y,13076.4449499091
55,5550250,N,2054,15TH AVE NE,20,"15TH AVE NE, S/O NE 75TH ST",2013,2054,9800,313543, ,Y,2680.44066483259
56,94850755,N,12667,ROOSEVELT WAY NE,225,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",2013,12667,17100,313234,Y,Y,1819.62250413868
57,,N,3359,23RD AVE,36,"23RD AVE, N/O E CHERRY ST",2013,3359,16600,313407, ,Y,7208.80351716654
58,38950700,N,7340,5TH AVE NE,65,"5TH AVE NE, S/O 145TH ST OFF RP",2013,7340,5900,313687, ,Y,3988.297273481
59,109100160,N,13894,E CHERRY ST,114,"E CHERRY ST, W/O 26TH AVE",2013,13894,8300,311563, ,Y,5063.2658428403
60,5600260,N,2117,15TH AVE NW,22,"15TH AVE NW, S/O NW 80TH ST",2013,2117,32100,313545, ,Y,8046.17743951545
61,112000040,N,14243,E JOHN ST,115,"E JOHN ST, E/O BROADWAY E",2013,14243,15200,311565, ,Y,972.867125631906
62,47050150,Y,8164,7TH AVE,73,"7TH AVE, NW/O LENORA ST",2013,8164,3900,313693, ,Y,2363.70406660409
63,48100100,N,8477,8TH AVE SW,77,"8TH AVE SW, N/O SW ROXBURY ST",2013,8477,6500,313699, ,Y,2079.73698286127
64,20950790,N,4513,3RD AVE NW,53,"3RD AVE NW, S/O NW 145TH ST",2013,4513,8400,313565, ,Y,17217.821065003
65,6950380,N,2349,16TH AVE SW,25,"16TH AVE SW, N/O SW CAMBRIDGE ST",2013,2349,5900,311161, ,Y,5953.08378003457
66,89550010,N,12052,OLSON PL SW,208,"OLSON PL SW, SW/O 1ST AVE S",2013,12052,32000,313215,Y,Y,2293.66521745947
67,57350200,N,9450,BROADWAY,95,"BROADWAY, S/O E DENNY WAY",2013,9450,13500,313409, ,Y,5032.18023101974
68,5650245,N,2155,15TH AVE S,23,"15TH AVE S, S/O S BRADFORD ST",2013,2155,21400,313547, ,Y,2700.68104130071
69,113000280,N,14407,EAST MARGINAL WAY S,125,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",2013,14407,9900,313098,Y,Y,1679.0023771194
70,27050120,N,5362,35TH AVE NE,49,"35TH AVE NE, S/O NE 75TH ST",2013,5362,15400,313039,Y,Y,8287.31308923215
71,185650015,N,23271,W EMERSON PL,265,"W EMERSON PL, SE/O 21ST AVE W",2013,23271,19700,313779, ,Y,2821.73620591288
72,55650170,Y,9318,BOREN AVE,92,"BOREN AVE, SE/O PIKE ST",2013,9318,20800,313442, ,Y,1224.11373892785
73,99400050,N,13038,SWIFT AVE S,260,"SWIFT AVE S, NW/O S ALBRO PL",2013,13038,7700,313734, ,Y,6228.65723918833
74,300215,N,1214,1ST AVE S,31,"1ST AVE S, S/O S SPOKANE SR ST",2013,1214,17800,313535, ,Y,6553.64604581829
75,100140,Y,1013,1ST AVE,32,"1ST AVE, NW/O LENORA ST",2013,1013,14400,313025,Y,Y,4622.27742896687
76,47850140,Y,8279,8TH AVE,78,"8TH AVE, SE/O PIKE ST",2013,8279,4600,313073,Y,Y,3919.71877520201
77,129750230,N,16496,NE 125TH ST,184,"NE 125TH ST, W/O 27TH AVE NE",2013,16496,15300,311576,Y,Y,5659.85457770065
78,93450730,N,12409,RAINIER AVE S,216,"RAINIER AVE S, S/O S OTHELLO ST",2013,12409,22100,312966, ,Y,7910.41450444665
79,166350100,N,20911,S MYRTLE ST,239,"S MYRTLE ST, W/O BEACON WR AVE S",2013,20911,10900,313250,Y,Y,1055.60188805434
80,63450280,Y,10023,DENNY WAY,109,"DENNY WAY, E/O STEWART ST",2013,10023,28600,312512,Y,Y,1257.12045476637
81,67700450,N,10420,FAUNTLEROY WAY SW,132,"FAUNTLEROY WAY SW, N/O SW BARTON ST",2013,10420,10100,313476, ,Y,8904.53350913795
82,71050650,N,10764,GREENWOOD AVE N,138,"GREENWOOD AVE N, S/O HOLMAN RD N",2013,10764,12500,311592, ,Y,6617.58513858824
83,53850050,N,9093,BEACH DR SW,88,"BEACH DR SW, SE/O 61ST AVE SW",2013,9093,4900,313711, ,Y,17360.7054255497
84,31300120,Y,6130,4TH AVE,62,"4TH AVE, SE/O PIKE ST",2013,6130,19300,311778,Y,Y,4472.22651773913
85,44350170,Y,7890,6TH AVE,71,"6TH AVE, NW/O LENORA ST",2013,7890,6300,311386, ,Y,2945.64639494732
86,80150280,N,11166,LAKE CITY WAY NE,150,"LAKE CITY WAY NE, SW/O NE 115TH ST",2013,11166,39600,313428, ,Y,2944.37513629408
87,93451120,N,12439,RAINIER AVE S,212,"RAINIER AVE S, E/O 75TH AVE S",2013,12439,18000,313223, ,Y,8041.57296682896
88,119750060,N,15264,N 145TH ST,171,"N 145TH ST, W/O LINDEN AVE N",2013,15264,14000,312171,Y,Y,3896.13507154779
89,38950585,N,7255,5TH AVE NE,66,"5TH AVE NE, S/O NE NORTHGATE WAY",2013,7255,14900,313069,Y,Y,8580.44053367396
90,125000140,N,15962,N 85TH ST,180,"N 85TH ST, W/O ASHWORTH AVE N",2013,15962,23400,312816,Y,Y,6273.09271729292
91,136400060,N,17610,NE 80TH ST,198,"NE 80TH ST, E/O 5TH AVE NE",2013,17610,9900,313753, ,Y,1329.87340928132
92,5550170,N,2047,15TH AVE NE,19,"15TH AVE NE, S/O NE 65TH ST",2013,2047,10400,313541, ,Y,5297.11592128567
93,132850275,N,288753,NE 45TH ST,187,"NE 45TH ST, W/O NE 45TH PL",2013,288753,39600,313751, ,Y,2427.54180872405
94,160200190,N,20097,S GENESEE ST,229,"S GENESEE ST, E/O 38TH AVE S",2013,20097,9400,311972, ,Y,4316.75631627842
95,94850100,N,12601,ROOSEVELT WAY NE,222,"ROOSEVELT WAY NE, N/O NE 50TH ST",2013,12601,11800,312058,Y,Y,9323.63930853616
96,120600150,N,15416,N 40TH ST,173,"N 40TH ST, E/O STONE WAY N",2013,15416,10300,311600, ,Y,4695.00078826017
97,31500060,N,6232,4TH AVE S,60,"4TH AVE S, S/O SEATTLE BLVD S",2013,6232,27000,313067,Y,Y,9143.61202872809
98,173050020,N,21691,SW ADMIRAL WAY,252,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",2013,21691,25600,313255,Y,Y,5797.16372341431
99,164950060,N,20693,S LUCILE ST,236,"S LUCILE ST, E/O 4TH AVE S",2013,20693,6500,310787, ,Y,2110.63666944933
100,63200030,N,9960,DELRIDGE WAY SW,107,"DELRIDGE WAY SW, S/O SW ANDOVER ST",2013,9960,19300,313090,Y,Y,12560.2519582285
101,71050490,N,10746,GREENWOOD AVE N,140,"GREENWOOD AVE N, S/O N 80TH ST",2013,10746,17300,313112,Y,Y,4085.2716215683
102,38950590,N,7256,5TH AVE NE,64,"5TH AVE NE, N/O NE NORTHGATE WAY",2013,7256,11400,313426, ,Y,5299.08800735826
103,10750020,N,3090,20TH AVE W,34,"20TH AVE W, S/O W DRAVUS ST",2013,3090,6500,311608, ,Y,9516.92871871367
104,1500170,N,1298,10TH AVE E,9,"10TH AVE E, S/O E BOSTON ST",2013,1298,13000,311554, ,Y,6739.72457475202
105,4650470,N,1960,14TH AVE S,15,"14TH AVE S, N/O S DIRECTOR ST",2013,1960,11200,313021,Y,Y,1863.58888052303
106,118650070,N,15160,N 130TH ST,170,"N 130TH ST, W/O LINDEN AVE N",2013,15160,13800,313142,Y,Y,2601.58535237012
107,125000070,N,15954,N 85TH ST,181,"N 85TH ST, W/O LINDEN AVE N",2013,15954,25600,313148,Y,Y,5288.15231999762
108,121950060,N,15641,N 50TH ST,177,"N 50TH ST, W/O FREMONT AVE N",2013,15641,11800,313744, ,Y,3394.51184103588
109,164200065,N,20628,S LANDER ST,235,"S LANDER ST, W/O 6TH AVE S",2013,20628,12700,312915, ,Y,3159.95873155522
110,47050080,Y,8157,7TH AVE,74,"7TH AVE, SE/O PIKE ST",2013,8157,7400,313691, ,Y,1628.52842408351
111,63200190,N,9976,DELRIDGE WAY SW,105,"DELRIDGE WAY SW, N/O SW MYRTLE ST",2013,9976,17300,313086,Y,Y,6001.0900010185
112,101100010,N,13189,UNIVERSITY BR,262,"UNIVERSITY BR, SW/O POINT A",2013,13189,27900,312840,Y,Y,2568.76809875073
113,134650300,N,17278,NE 65TH ST,191,"NE 65TH ST, E/O 25TH AVE NE",2013,17278,11700,313434, ,Y,2556.73720265996
114,3400060,N,1656,12TH AVE S,13,"12TH AVE S, S/O S WELLER ST",2013,1656,16300,313539, ,Y,3408.18050983368
115,68700160,N,10498,FREMONT AVE N,134,"FREMONT AVE N, S/O N 46TH ST",2013,10498,10200,311590, ,Y,5330.67249982393
116,112750380,N,14372,E MADISON ST,117,"E MADISON ST, SW/O 38TH AVE E",2013,14372,12700,311569, ,Y,5345.49465099886
117,14850180,N,3605,24TH AVE NW,38,"24TH AVE NW, S/O NW 80TH ST",2013,3605,11300,313555, ,Y,7987.37352069935
118,93450300,N,12368,RAINIER AVE S,218,"RAINIER AVE S, SE/O M L KING JR WAY S",2013,12368,22200,313227,Y,Y,5858.37139919411
119,164950115,N,20699,S LUCILE ST,237,"S LUCILE ST, W/O 12TH AVE S",2013,20699,9500,313769, ,Y,2022.63837371979
120,48050420,N,8469,8TH AVE S,76,"8TH AVE S, S/O S DIRECTOR ST",2013,8469,2000,311388, ,Y,3436.94971094465
121,86200680,N,11752,MERIDIAN AVE N,163,"MERIDIAN AVE N, S/O N 145TH ST",2013,11752,3800,313133,Y,Y,3986.47317772953
122,135950280,N,17527,NE 75TH ST,196,"NE 75TH ST, W/O 30TH AVE NE",2013,17527,15700,311586,Y,Y,2532.02921065363
123,63450045,B,10000,DENNY WAY,111,"DENNY WAY, W/O 2ND AVE",2013,10000,34800,312648,Y,Y,1115.20564463718
124,135950110,N,17510,NE 75TH ST,195,"NE 75TH ST, E/O 12TH AVE NE",2013,17510,20100,313161,Y,Y,4121.4969239623
125,65750060,N,10230,ELLIS AVE S,131,"ELLIS AVE S, S/O S WARSAW ST",2013,10230,7100,313458, ,Y,6690.95318195086
126,112750115,N,14348,E MADISON ST,116,"E MADISON ST, SW/O 17TH AVE",2013,14348,23600,312672, ,Y,5371.13088777387
127,3300260,N,1589,12TH AVE NE,12,"12TH AVE NE, S/O NE 75TH ST",2013,1589,9000,312313,Y,Y,2640.8954271984
128,81500030,N,11336,LEARY WAY NW,152,"LEARY WAY NW, NW/O 3RD AVE NW",2013,11336,28400,311604,Y,Y,5713.53060452727
129,139300090,N,18018,NE NORTHGATE WAY,200,"NE NORTHGATE WAY, W/O 15TH AVE NE",2013,18018,16300,311588,Y,Y,4527.71261262254
130,161950010,N,20314,S HOLGATE BR,232,"S HOLGATE BR, E/O S HOLGATE ST",2013,20314,7000,313766, ,Y,6227.30517120531
131,185250170,N,23222,W DRAVUS ST,264,"W DRAVUS ST, E/O 20TH AVE W",2013,23222,20200,313777, ,Y,1380.02633498574
132,65100270,N,10183,EASTLAKE AVE E,128,"EASTLAKE AVE E, SW/O HARVARD AVE E",2013,10183,14300,313717, ,Y,8709.56263594248
133,93450450,N,12383,RAINIER AVE S,213,"RAINIER AVE S, N/O S ALASKA ST",2013,12383,26600,313464, ,Y,1260.71429232279
134,174000250,N,21848,SW BARTON ST,255,"SW BARTON ST, W/O 30TH AVE SW",2013,21848,8400,311006, ,Y,7676.93537541441
135,14750110,N,3543,24TH AVE E,37,"24TH AVE E, N/O E PROSPECT ST",2013,3543,21000,313031,Y,Y,9802.82922087441
136,22750030,N,4828,31ST AVE S,45,"31ST AVE S, S/O S JACKSON ST",2013,4828,4700,313681, ,Y,8590.21593226514
137,300040,Y,1188,1ST AVE S,28,"1ST AVE S, N/O S KING ST",2013,1188,11000,313533, ,Y,4019.33897688906
138,148000130,N,18898,NW 80TH ST,203,"NW 80TH ST, W/O 15TH AVE NW",2013,18898,7800,313444, ,Y,5301.03353966279
139,121400040,N,15557,N 46TH ST,175,"N 46TH ST, W/O PHINNEY AVE N",2013,15557,24000,313144,Y,Y,6326.32200156573
140,124550040,N,15893,N 80TH ST,179,"N 80TH ST, W/O LINDEN AVE N",2013,15893,16600,313748, ,Y,7953.15552972554
141,131450030,N,16680,NE 145TH ST,185,"NE 145TH ST, E/O 5TH AVE NE",2013,16680,32000,313749, ,Y,7977.1892470751
142,117400050,N,15012,N 105TH ST,167,"N 105TH ST, W/O EVANSTON W AVE N",2013,15012,22800,313741, ,Y,2649.00043925463
143,5550070,N,2034,15TH AVE NE,18,"15TH AVE NE, S/O NE 45TH ST",2013,2034,14800,311571,Y,Y,2877.46241780495
144,4450010,N,1840,14TH AVE,16,"14TH AVE, N/O E YESLER WAY",2013,1840,7200,313405, ,Y,2319.7598626072
145,80550170,N,11209,LAKE WASHINGTON BLVD E,151,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST",2013,11209,18100,313411, ,Y,8760.4163843065
146,31500240,N,6252,4TH AVE S,57,"4TH AVE S, N/O S DAWSON ST",2013,6252,22900,313051,Y,Y,6582.44685758845
147,133200020,N,15656,NE 50TH ST,176,"N 50TH ST, W/O 1ST AVE NE",2013,15656,26800,313146,Y,Y,4488.89504330414
148,52500030,N,8900,AURORA AVE N,,,2012,,74400,311378,,,8798.5768675709
149,102580040,N,13330,WEST SEATTLE BR EB & WB,270,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP",2013,13330,93000,313822, ,Y,4775.92542097364
150,,N,9416,BROAD ST,93,"BROAD ST, NE/O DENNY WAY",2013,9416,15300,313482, ,Y,1032.72502987614
151,,Y,12900,STEWART ST,249,"STEWART ST, NE/O 4TH AVE",2013,12900,9800,312151,Y,Y,1610.16664274374
152,,Y,13531,WESTLAKE AVE,276,"WESTLAKE AVE, S/O DENNY WAY",2013,13531,8700,313933, ,Y,1931.62453572968
153,112750300,N,14364,E MADISON ST,118,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",2013,14364,14700,311567, ,Y,3528.68698485641
154,27200460,N,5484,35TH AVE SW,50,"35TH AVE SW, N/O SW ROXBURY ST",2013,5484,16500,313041,Y,Y,2685.90334176113
