OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
1924,"2153,2151,2152",15TH AVE S,375,N,2017/12/13 11:15:00+00,912,1002,10835,9557,10800,Study,,898.373909279396
1925,"10499,10502,10501,10500",FREMONT AVE N,1525,N,2018/02/01 11:30:00+00,349,337,4170,4122,4200,Study,,1059.7404428415
1926,"15076,15075",N 115TH ST,1861,N,2018/01/17 08:30:00+00,745,741,9513,8321,9500,Study,,2648.27260462724
1927,"23358,11606,11607","W GALER ST,MAGNOLIA BLVD W",1219,N,2018/01/25 09:30:00+00,787,787,9620,9023,9600,Study,,2097.67343878273
1928,"2657,2659,2660,2658,2656",19TH AVE E,1173,N,2017/11/30 11:45:00+00,649,613,6736,6361,6700,Study,,2321.87814098426
1929,"11489,11488,11486,11487",M L KING JR WAY,850,N,2017/11/30 11:00:00+00,1267,1388,15115,14071,15100,Study,,1803.44891865018
1930,"14321,14320,14728,14729,9953,9955,9954","E LYNN ST,E ROANOKE ST,DELMAR DR E",1260,N,2017/11/29 08:30:00+00,730,651,7141,6659,7100,Study,,2911.17413409628
1931,"2134,2133,2138,2141,2139,2142,2135,2137,2132,2140,2136",15TH AVE S,36,N,2017/10/23 11:15:00+00,974,999,11923,11667,11900,Study,,4550.71139203131
1933,"3723,3724",25TH AVE NE,1549,N,2017/11/02 14:00:00+00,1173,1532,18210,17455,18200,Study,,824.026345772566
1934,"15902,15901",N 80TH ST,1741,N,2018/02/01 07:45:00+00,973,1187,13836,13290,13800,Study,,453.926648731684
1935,"12620,12621,12622",ROOSEVELT WAY NE,1944,N,2017/07/27 10:30:00+00,1247,1242,13474,12708,13500,Study,,760.142181659774
1936,2035,15TH AVE NE,1478,N,2017/08/31 09:45:00+00,757,852,9327,8205,9300,Study,,664.526423487553
1937,"9818,9819,9817",CORNELL AVE S,42,N,2018/01/18 10:00:00+00,397,368,4108,3947,4100,Study,,1337.402249259
1938,"15294,15291,15292,15290,15293",N 34TH ST,1290,N,2017/10/17 11:00:00+00,993,984,12413,12170,12400,Study,,1602.42452136332
1939,"3613,3609,3610,3612,603613,3611",24TH AVE NW,1808,N,2018/02/05 10:00:00+00,297,229,2396,2228,2400,Study,,3065.24836217698
